MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN
1,27,21,25.64,0
1,27,22,25.49,0
1,27,23,25.23,0
1,28,0,24.87,0
1,28,1,24.57,0
1,28,2,24.38,0
1,28,3,24.26,0
1,28,4,24.23,0
1,28,5,24.23,0
1,28,6,24.33,22.72
1,28,7,25.3,214.28
1,28,8,26.69,458.88
1,28,9,27.86,668.01
1,28,10,28.62,822.91
1,28,11,29.1,912.5
1,28,12,29.29,922.3
1,28,13,29.23,846.64
1,28,14,28.89,726.77
1,28,15,28.29,540.77
1,28,16,27.4,312.14
1,28,17,26.34,69.71
1,28,18,25.68,0
1,28,19,25.51,0
1,28,20,25.48,0
1,28,21,25.55,0
1,28,22,25.45,0
1,28,23,25.19,0
1,29,0,24.93,0
1,29,1,24.67,0
1,29,2,24.46,0
1,29,3,24.32,0
1,29,4,24.17,0
1,29,5,24.08,0
1,29,6,24.2,23.93
1,29,7,25.21,220.26
1,29,8,26.51,467.43
1,29,9,27.68,677.05
1,29,10,28.63,832.77
1,29,11,29.37,922.5
1,29,12,29.77,935.31
1,29,13,29.81,877.71
1,29,14,29.57,742.67
1,29,15,29.05,548.12
1,29,16,28.17,310.19
1,29,17,26.84,70.53
1,29,18,25.9,0
1,29,19,25.64,0
1,29,20,25.49,0
1,29,21,25.34,0
1,29,22,25.15,0
1,29,23,24.91,0
1,30,0,24.68,0
1,30,1,24.5,0
1,30,2,24.38,0
1,30,3,24.27,0
1,30,4,24.11,0
1,30,5,23.78,0
1,30,6,24,22.57
1,30,7,25.4,213.16
1,30,8,26.87,456.73
1,30,9,28.05,670.22
1,30,10,28.9,830.71
1,30,11,29.35,920.73
1,30,12,29.44,926.55
1,30,13,29.26,884.92
1,30,14,28.88,746.51
1,30,15,28.3,554.95
1,30,16,27.51,319.36
1,30,17,26.39,75.42
1,30,18,25.51,0
1,30,19,25.19,0
1,30,20,25,0
1,30,21,24.89,0
1,30,22,24.86,0
1,30,23,24.81,0
1,31,0,24.68,0
1,31,1,24.44,0
1,31,2,24.19,0
1,31,3,23.87,0
1,31,4,23.51,0
1,31,5,23.38,0
1,31,6,23.73,23.64
1,31,7,25.24,202.98
1,31,8,26.62,455.66
1,31,9,27.73,671.02
1,31,10,28.53,829.12
1,31,11,28.96,922.29
1,31,12,29.03,913.15
1,31,13,28.87,876.12
1,31,14,28.51,746.08
1,31,15,28,556.1
1,31,16,27.35,325.38
1,31,17,26.29,78.67
1,31,18,25.51,0
1,31,19,25.27,0
1,31,20,25.16,0
1,31,21,25.08,0
1,31,22,24.96,0
1,31,23,24.76,0
2,1,0,24.56,0
2,1,1,24.4,0
2,1,2,24.21,0
2,1,3,24.03,0
2,1,4,23.91,0
2,1,5,23.83,0
2,1,6,24.03,24.96
2,1,7,25.18,226.19
2,1,8,26.5,476.38
2,1,9,27.69,688.39
2,1,10,28.57,845.6
2,1,11,29.08,932.23
2,1,12,29.24,946.76
2,1,13,29.08,884.41
2,1,14,28.65,727.1
2,1,15,28,547.68
2,1,16,27.12,319.63
2,1,17,26.09,76.85
2,1,18,25.45,0
2,1,19,25.29,0
2,1,20,25.21,0
2,1,21,25.13,0
2,1,22,25.04,0
2,1,23,24.9,0
2,2,0,24.7,0
2,2,1,24.53,0
2,2,2,24.38,0
2,2,3,24.26,0
2,2,4,24.16,0
2,2,5,24.07,0
2,2,6,24.15,24.96
2,2,7,25.18,228.41
2,2,8,26.58,483.22
2,2,9,27.89,700.3
2,2,10,28.87,850.73
2,2,11,29.49,934.33
2,2,12,29.8,943.39
2,2,13,29.76,874.59
2,2,14,29.51,751.02
2,2,15,29.01,558.88
2,2,16,28.23,322.8
2,2,17,26.96,77.58
2,2,18,26.07,0
2,2,19,25.79,0
2,2,20,25.62,0
2,2,21,25.33,0
2,2,22,25.07,0
2,2,23,24.73,0
2,3,0,24.4,0
2,3,1,24.13,0
2,3,2,23.94,0
2,3,3,23.82,0
2,3,4,23.74,0
2,3,5,23.55,0
2,3,6,23.53,23.54
2,3,7,24.91,217.34
2,3,8,26.52,464.09
2,3,9,27.99,674.88
2,3,10,29.37,830.78
2,3,11,29.94,917.33
2,3,12,29.97,932.61
2,3,13,29.64,860.33
2,3,14,29.17,730.5
2,3,15,28.56,538.73
2,3,16,27.7,303.83
2,3,17,26.53,71.16
2,3,18,25.58,0
2,3,19,25.23,0
2,3,20,25.07,0
2,3,21,24.98,0
2,3,22,24.87,0
2,3,23,24.73,0
2,4,0,24.54,0
2,4,1,24.31,0
2,4,2,23.95,0
2,4,3,23.52,0
2,4,4,23.45,0
2,4,5,23.5,0
2,4,6,23.86,21.89
2,4,7,25.25,205.34
2,4,8,26.73,448.1
2,4,9,28.03,657.53
2,4,10,28.73,812.97
2,4,11,29.01,904.48
2,4,12,29.02,885.23
2,4,13,28.78,803.27
2,4,14,28.38,688.79
2,4,15,27.83,483.41
2,4,16,27.15,270.26
2,4,17,26.26,60.76
2,4,18,25.55,0
2,4,19,25.38,0
2,4,20,25.28,0
2,4,21,25.21,0
2,4,22,25.15,0
2,4,23,25.08,0
2,5,0,24.92,0
2,5,1,24.67,0
2,5,2,24.43,0
2,5,3,24.18,0
2,5,4,23.96,0
2,5,5,23.94,0
2,5,6,24.33,21.4
2,5,7,25.52,206.1
2,5,8,27.03,449.12
2,5,9,28.44,660.69
2,5,10,29.62,814.79
2,5,11,30.33,869.87
2,5,12,30.49,790.53
2,5,13,30.33,743.42
2,5,14,30,591.33
2,5,15,29.36,426.48
2,5,16,28.49,224.61
2,5,17,27.32,50.74
2,5,18,26.44,0
2,5,19,26.09,0
2,5,20,25.83,0
2,5,21,25.67,0
2,5,22,25.58,0
2,5,23,25.44,0
2,6,0,25.23,0
2,6,1,25.05,0
2,6,2,24.97,0
2,6,3,24.91,0
2,6,4,24.85,0
2,6,5,24.72,0
2,6,6,24.98,20.06
2,6,7,26.25,196.72
2,6,8,27.87,440.66
2,6,9,29.29,648.85
2,6,10,29.99,808.41
2,6,11,30.26,908.71
2,6,12,30.26,866
2,6,13,30.01,850.22
2,6,14,29.65,720.95
2,6,15,29.02,534.16
2,6,16,28.19,301.55
2,6,17,27.09,71.25
2,6,18,26.32,0
2,6,19,26.08,0
2,6,20,25.94,0
2,6,21,25.79,0
2,6,22,25.61,0
2,6,23,25.44,0
2,7,0,25.32,0
2,7,1,25.12,0
2,7,2,25.02,0
2,7,3,24.88,0
2,7,4,24.8,0
2,7,5,24.76,0
2,7,6,24.86,22.6
2,7,7,25.58,206.61
2,7,8,26.65,449.71
2,7,9,27.7,660.43
2,7,10,28.86,817.98
2,7,11,29.78,910.67
2,7,12,30.14,927.08
2,7,13,30.05,830.77
2,7,14,29.64,706.97
2,7,15,29,511.62
2,7,16,28.15,285.58
2,7,17,27.09,67.45
2,7,18,26.34,0
2,7,19,26.15,0
2,7,20,26.02,0
2,7,21,25.89,0
2,7,22,25.71,0
2,7,23,25.49,0
2,8,0,25.31,0
2,8,1,25.12,0
2,8,2,24.92,0
2,8,3,24.76,0
2,8,4,24.65,0
2,8,5,24.57,0
2,8,6,24.65,22.84
2,8,7,25.83,208.18
2,8,8,27.4,451.92
